epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.0322,0.99479,0.68519,1,0.94388,0.000231389,0.000231389,0.000231389
2,20.6594,0.65475,0.72222,1,0.82535,0.000422919,0.000422919,0.000422919
3,30.8097,0.51671,0.83333,1,0.73129,0.000567326,0.000567326,0.000567326
4,40.8678,0.30275,0.88889,1,0.71081,0.000501942,0.000501942,0.000501942
5,50.7537,0.31702,0.83333,1,0.704,0.000431256,0.000431256,0.000431256
6,60.9027,0.2579,0.85185,1,0.68438,0.00036057,0.00036057,0.00036057
7,71.1702,0.2014,0.87037,1,0.68114,0.000289884,0.000289884,0.000289884
8,81.3828,0.19073,0.85185,1,0.68697,0.000219198,0.000219198,0.000219198
9,91.6475,0.15325,0.83333,1,0.69068,0.000148512,0.000148512,0.000148512
10,101.751,0.16718,0.85185,1,0.70405,7.7826e-05,7.7826e-05,7.7826e-05
