epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.9105,1.00151,0.65116,1,0.98489,0.00019278,0.00019278,0.00019278
2,21.6655,0.66195,0.69767,1,0.81592,0.000353823,0.000353823,0.000353823
3,32.6927,0.45449,0.76744,1,0.79524,0.000475281,0.000475281,0.000475281
4,43.3148,0.35735,0.7907,1,0.73971,0.000501942,0.000501942,0.000501942
5,54.5831,0.2746,0.7907,1,0.71348,0.000431256,0.000431256,0.000431256
6,66.136,0.24045,0.76744,1,0.74098,0.00036057,0.00036057,0.00036057
7,79.511,0.20193,0.81395,1,0.68747,0.000289884,0.000289884,0.000289884
8,99.6403,0.17531,0.7907,1,0.78112,0.000219198,0.000219198,0.000219198
9,110.716,0.14627,0.7907,1,0.74698,0.000148512,0.000148512,0.000148512
10,120.967,0.12658,0.7907,1,0.73744,7.7826e-05,7.7826e-05,7.7826e-05
