epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.3137,0.9786,0.63492,1,0.94577,0.000232195,0.000232195,0.000232195
2,22.7947,0.63229,0.74603,1,0.83351,0.000423646,0.000423646,0.000423646
3,34.3444,0.43093,0.77778,1,0.78364,0.000567972,0.000567972,0.000567972
4,51.2936,0.3306,0.80952,1,0.73911,0.000501942,0.000501942,0.000501942
5,77.6008,0.26181,0.8254,1,0.7358,0.000431256,0.000431256,0.000431256
6,90.8741,0.22679,0.84127,1,0.70897,0.00036057,0.00036057,0.00036057
7,101.683,0.14937,0.84127,1,0.70633,0.000289884,0.000289884,0.000289884
8,113.076,0.15688,0.85714,1,0.70537,0.000219198,0.000219198,0.000219198
9,124.375,0.17056,0.87302,1,0.69509,0.000148512,0.000148512,0.000148512
10,135.639,0.13924,0.87302,1,0.69326,7.7826e-05,7.7826e-05,7.7826e-05
