epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.3359,1.2023,0.2,1,1.44846,0.00019278,0.00019278,0.00019278
2,20.7337,0.71829,0.05,1,1.55577,0.000353823,0.000353823,0.000353823
3,30.9858,0.51298,0.05,1,1.62786,0.000475281,0.000475281,0.000475281
4,41.9879,0.37319,0,1,1.65256,0.000501942,0.000501942,0.000501942
5,53.4269,0.28248,0,1,1.68411,0.000431256,0.000431256,0.000431256
6,64.6205,0.25838,0,1,1.69088,0.00036057,0.00036057,0.00036057
7,75.6851,0.20266,0,1,1.69276,0.000289884,0.000289884,0.000289884
8,86.6764,0.18588,0,1,1.69228,0.000219198,0.000219198,0.000219198
9,97.575,0.17087,0,1,1.69306,0.000148512,0.000148512,0.000148512
