epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.4015,0.97508,0.65672,1,0.96449,0.000232591,0.000232591,0.000232591
2,24.328,0.6347,0.68657,1,0.91843,0.000424002,0.000424002,0.000424002
3,36.3029,0.4366,0.77612,1,0.7112,0.00056829,0.00056829,0.00056829
4,49.2366,0.32048,0.80597,1,0.69709,0.000501942,0.000501942,0.000501942
5,61.8678,0.25678,0.8209,1,0.67152,0.000431256,0.000431256,0.000431256
6,74.4874,0.22852,0.85075,1,0.76409,0.00036057,0.00036057,0.00036057
7,87.0846,0.19495,0.86567,1,0.65511,0.000289884,0.000289884,0.000289884
8,99.781,0.18416,0.86567,1,0.74582,0.000219198,0.000219198,0.000219198
9,112.804,0.18596,0.85075,1,0.65767,0.000148512,0.000148512,0.000148512
10,126.141,0.14858,0.86567,1,0.74746,7.7826e-05,7.7826e-05,7.7826e-05
