epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.1445,0.9952,0.67164,1,0.95331,0.000232591,0.000232591,0.000232591
2,33.1628,0.6623,0.80597,1,0.89436,0.000437313,0.000437313,0.000437313
3,45.6791,0.44422,0.77612,1,0.71251,0.000608376,0.000608376,0.000608376
4,59.1763,0.33184,0.80597,1,0.69821,0.00056253,0.00056253,0.00056253
5,73.2042,0.27294,0.83582,1,0.66769,0.00051204,0.00051204,0.00051204
6,88.3961,0.26465,0.86567,1,0.75155,0.00046155,0.00046155,0.00046155
7,102.993,0.19331,0.86567,1,0.65672,0.00041106,0.00041106,0.00041106
8,118.275,0.18559,0.86567,1,0.71837,0.00036057,0.00036057,0.00036057
9,133.999,0.18914,0.8209,1,0.6763,0.00031008,0.00031008,0.00031008
10,148.472,0.14308,0.86567,1,0.76562,0.00025959,0.00025959,0.00025959
11,162.49,0.12831,0.86567,1,0.74587,0.0002091,0.0002091,0.0002091
12,176.165,0.17514,0.86567,1,0.84065,0.00015861,0.00015861,0.00015861
13,190.029,0.12873,0.86567,1,0.63808,0.00010812,0.00010812,0.00010812
14,204.911,0.11124,0.86567,1,0.71178,5.763e-05,5.763e-05,5.763e-05
