epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.7614,1.00151,0.55,1,1.02245,0.00019278,0.00019278,0.00019278
2,22.7422,0.66195,0.75,1,0.8967,0.000353823,0.000353823,0.000353823
3,34.1707,0.45449,0.7,1,0.826,0.000475281,0.000475281,0.000475281
4,45.8552,0.35735,0.75,1,0.83713,0.000501942,0.000501942,0.000501942
5,56.6122,0.2746,0.65,1,0.83393,0.000431256,0.000431256,0.000431256
6,68.1672,0.24045,0.65,1,0.84005,0.00036057,0.00036057,0.00036057
7,79.9271,0.20193,0.7,1,0.81808,0.000289884,0.000289884,0.000289884
8,90.1008,0.17531,0.65,1,0.82831,0.000219198,0.000219198,0.000219198
9,100.609,0.14627,0.7,1,0.81925,0.000148512,0.000148512,0.000148512
10,110.869,0.12658,0.65,1,0.82583,7.7826e-05,7.7826e-05,7.7826e-05
